他天生皮肤白，怎么晒都晒不黑。	伊/是/白肉底/，/按怎/曝/嘛/曝/袂/乌/。
他很维护自己人，所以那些小弟都很敬重他。	伊/真/为/家己人/，/所以/遐的/细的/拢/足/敬重伊/。
你的位子在这里。	你/的/位/伫/遮/。
农历过年公司差不多休一个礼拜。	旧历/过年/公司/歇/差不多/一/礼拜/。
他写字、吃饭都用左手。	伊/写字/、/食饭/拢/用/倒手/。
虽然他家很穷，但是他的孩子都很杰出。	虽然/𪜶/兜/真/散赤/，/毋过/𪜶/的/囡仔/拢/真/有/出脱/。
内外事物都是他在掌理。	外头/佮/内头/拢/伊/咧/扞/。
因为下雨，所以我今天不想出门。	因为/落雨/，/我/今仔日/才/无/想欲/出门/。
拾取刨木花回来当火媒。	抾/𠛅刀蔫/转来/做/火引/。
她总共生了六个儿子。	伊/拢总/生/六/个/后生/。
那棵树的花开得黄橙橙的。	彼/欉/树仔/花/开/甲/黄锦锦/。
巷口屋子起火，很多人围观。	巷仔口/火烧厝/，/足/济/人/围/咧/看/。
你不要看他瘦小，他瘦虽瘦，还是很有耐力的。	你/莫/看/伊/瘦/，/伊/瘦/罔/瘦/，/犹阁/诚/有/牵挽/。
今天天气不好，你出门的时候要记得带雨衣。	今仔日/天气/无/好/，/你/出门/的/时/爱/会记得/扎/雨幔/。
买一家杂货店来经营。	承/一/间/杂货仔店/来/做/。
他的动作真快，工作一下子就做完了。	伊/跤手/真/紧/，/穑头/一困仔/就/做/了矣/。
打鼓很有趣。	挵/鼓/真/趣味/。
最近都没看到他的人。	最近/拢/无/看着/伊/的/影/。
做生意要胆子大，畏首畏尾不做不成。	做生理/爱/敢/，/勼跤勼手/做/袂/行/。
那家新的卖场何时会开始营业？	彼/间/新/的/卖场/当时/欲/开市/？
他就是太过无聊了，才会四处去找人下棋。	伊/就/是/伤/过/无聊/，/才/会/四界/去/揣/人/欲/行棋/。
最近生活得较好些。	近来/生活/较/快活/。
你真的很笨。	你/真正/有够/悾歁/。
感谢你提拔我。	感谢/你/共/我/栽培/。
这本书你帮我接过去。	这/本/册/你/共/我/接过去/。
土鸡用水煮的较清甜。	土鸡仔/用/白煠的/较/清甜/。
雨下得这么大，我看会闹水灾。	雨/落/遮尔/大/，/我/看/会/淹大水/。
你想要的东西，我绝对帮你准备齐全。	你/欲/爱/的/物件/，/我/绝对/共/你/攒/予/齐备/。
他常常用话侮辱人。	伊/定定/讲话/共/人/侮辱/。
农夫要看天吃饭。	作田人/着爱/看/天/食饭/。
事情都到这个地步了，你还有什么话说？	代志/到/这/个/地步矣/，/你/犹阁/有/啥物/话/通/讲/？
做做停停，要做到什么时候？	做咧/歇咧/，/欲/做/到/当时/？
你的手指头上有几个螺旋状指纹？	你/的/手指头仔/有/几/个/脶/？
我恳求你，原谅他的过失。	我/恳求你/，/原谅/伊/的/过失/。
吃下去的东西都堆积着无法消化。	食落去/的/物件/拢/积/牢咧/。
他养的鸡都感染瘟疫死光光。	伊/饲/的/鸡仔/拢/着灾/死了了/。
姊姊和弟弟结伴去上学。	阿姊/佮/小弟/相𤆬/去/读册/。
现在的人都比较懂得享受。	现此时/的/人/拢/较/会晓/享受/。
翻过来，背面也可以写。	掀过来/，/倒面/嘛/会使/写/。
我要去为他吊丧。	我/欲/去/共/伊/拈香/。
阿福伯的丧事是在午时吊念祭拜，申时安葬。	阿福/伯/的/丧事/是/午时/吊祭/，/申时/落葬/。
若你手头方便，一些借给我。	你/手头/若/方便/，/一屑仔/借我/。
你的气色不好，是不是没睡饱？	你/的/面色/无/好/，/敢/会/是/困/无/饱眠/？
吃一碗刨冰，清凉一下。	食/一/碗/礤冰/，/凉一下/。
他一年到头都在美国和台湾两地跑来跑去。	伊/规年迵天/拢/伫/美国/佮/台湾/来来去去/。
我差一点被你吓死！	我/差/一点仔/予/你/惊死/！
那个东西限你明天中午以前给我。	彼/个/物件/限/你/明仔载/中昼/以前/予我/。
他太久没缴贷款，房子却被银行拿去抵债。	伊/真/久/无/纳/贷款/，/厝/煞/予/银行/估去/。
一边喝茶，一边随兴闲谈做为消遣。	食/茶/练痟话/，/消遣/拍抐凉/。
小孩子不要那么淘气。	囡仔人/毋通/遐/白目/。
早期在家里，长子的责任比较重。	较早/踮/厝内/，/大囝/的/责任/较/重/。
虽然他笨手笨脚的，咱们慢慢地教他，这种工作他也是做得来的。	虽然/伊/笨跤笨手/，/咱/沓沓仔/共/教/，/这/款/工课/伊/嘛/是/做/会/来/。
我爷爷是草药达人。	阮/阿公/是/青草仔/的/博士博/。
花五百元买一枝笔，值得吗？	开/五百/箍/买/一/枝/笔/，/敢/有/值/？
天那么黑，等一会儿也许会下雨。	天/遐尔仔/乌/，/等咧/凡势/会/落雨/。
他人高马大，力气十足，扛的货自然比别人还多。	伊/生做/人悬汉大/，/气力/饱/，/夯/的/货/自然/比/人/较/济/。
他近视很深。	伊/近视/真/深/。
这个东西价值一万元左右。	这/项/物件/价值/一万/箍/左右/。
现在到处都是橘子。	这马/柑仔/大四界/。
我正打算要去找你，你就打电话来了。	我/才/想讲/欲/去/揣你/，/你/就/敲/电话/来矣/。
麻油较燥热，你如果虚火上升就不要食用。	麻油/较/热/，/你/若/虚火/大/就/毋通/食/。
杂货店的生意都被大卖场抢走了。	杂货仔店/的/生理/拢/去/予/大卖场/抢去矣/。
我听你在吹牛。	我/听/你/咧/讲/嘐潲话/。
我是姑且说说而已。	我/是/罔/讲/尔尔/。
比喻走霉运。	运途/行/伫/卯字/。
你有没有请人来做法事？	你/有/请/人/来/做司公无/？
他最爱吹牛，你不要被他骗了。	伊/上/爱/膨风/，/你/毋好/予/伊/骗去/。
他不会理睬你，你不要浪费精神了。	伊/袂/插你/，/你/莫/枉费/心神矣/。
一件破衣服就可将就一年。	一/领/破/衫/㧣/一/冬/。
就是因为天气太热，荒地才会起火燃烧。	就/是/天气/伤/热/，/毋才/会/火烧埔/。
明天我会搭客运回去。	明仔载/我/会/坐/客运/转去/。
他做事情很马虎。	伊/做/代志/真/随便/。
那张桌子是长条形的。	彼/块/桌仔/是/长篙形的/。
把浮渣捞起来。	共/沫/𪮃起来/。
我和你差了十二岁。	我/佮/你/差/有/一/轮/。
一不小心，东西就掉落在地上。	一下/无张持/，/物件/煞/落/伫/涂跤/。
这件衣服是他特地为你做的。	这/领/衫/是/伊/专工/为/你/做的/。
四所学校联合招生。	四/间/学校/联合/招生/。
阿国很好色，看到漂亮的女人就猛流口水。	阿国仔/足/猪哥神的/，/看着/媠/查某/喙澜/就/直直流/。
初次见面，请多指教。	初见面/，/请/你/多多/指教/。
那群人讲不到三句话就起冲突了。	彼/阵/人/讲/无/三/句/话/就/起/迸矣/。
讲到台北，他熟悉得不得了。	讲着/台北/，/伊/真/是/头目鸟/。
不会就说不会，不要不懂装懂。	袂晓/就/讲/袂晓/，/毋通/袂博假博/。
他赌博输越多，内心越急。	伊/筊/跋/输/愈/济/，/心内/就/愈/烧热/。
桌上的东西掉下来了。	桌顶/的/物件/落落来矣/。
你这封信的地址写错了。	你/这/张/批/的/住址/写/毋着矣/。
明天老师要带我们去远足。	明仔载/老师/欲/𤆬/阮/去/远足/。
怀念小时候的朋友。	怀念/囡仔/时代/的/朋友/。
我的话才讲到一半，就被他打断了。	我/的/话/才/讲/一半/，/就/予/伊/拍断去/。
这张床板很硬。	这/块/眠床枋/足/𠕇的/。
你快来帮我。	你/紧/来/共/我/斗跤手/。
水果类盛产时最好吃，价格又便宜。	果子/大出/的/时/上/好食/，/价数/阁/俗/。
农历的小月只有二十九天而已。	旧历/的/小月/干焦/二十九工/尔尔/。
比赛有赢有输没有一个定数。	比赛/会/赢/会/输/无/包稳的/。
他兽医系毕业后就开始做兽医。	伊/兽医系/毕业/了后/就/开始/做/兽医/。
那个人心性不好，最爱挑拨人家。	彼/个/人/歹心行/，/上/爱/弄狗相咬/。
他上班时常常找空闲溜到外面摸鱼。	伊/上班/的/时/定定/揣/空缝/走/去/外口/摸飞/。
红龟粿抹了油，每一块都很亮滑。	红龟粿/抹油过/，/逐/块/都/金滑仔金滑/。
他是一个粗人，说话比较随便，你不要跟他计较。	伊/是/一/个/土人/，/讲话/较/凊彩/，/你/毋通/佮/伊/计较/。
昨天是最后一天，今天已经来不及了。	昨昏/是/上尾/一/工/，/今仔日/已经/袂赴矣/。
他跟咱们道歉过就好，过去的事别再计较了。	伊/有/共/咱/坐毋着/就/好/，/过去/的/代志/莫/阁/稽考矣/。
他能吃能睡，你别担心。	伊/会/食/会/困/，/你/免/烦恼/。
把垃圾拿去丢掉。	共/粪埽/提去/掷/。
我是第一次来这个地方。	我/是/头摆/来/这/个/所在/。
古时候的闺秀，都得学习花草刺绣。	古早/的/小姐/，/拢/着/学/挑花刺绣/。
我已经习惯这种生活。	我/已经/习惯/这/款/生活/。
他们家的土地被政府征收了。	𪜶/兜/的/土地/去/予/政府/征收去矣/。
他猛然放声大哭，让我吓了一大跳。	伊/雄雄/放声/吼出来/，/害/我/掣/一/趒/。
正是有酸甜苦辣，才能体会人生的滋味。	就/是/有/咸酸苦汫/，/才/会当/体会/人生/的/滋味/。
他到后里练习骑马。	伊/去/后里/练习/跑马/。
他年少时太过于放荡，家里一些财产被他花光光，导致现在流离失所。	伊/少年/的/时/伤过/匪类/，/厝内/一寡/财产/予/伊/败了了/，/致使/这马/有路无厝/。
听你在吹牛，我就不信你和总统一起吃过饭。	听/你/咧/臭弹/，/我/就/毋/相信/你/有/佮/总统/做伙/食/饭过/。
爷爷去新港游览，买了新港饴当礼物要给孙子吃。	阿公/去/新港/游览/，/有/买/鸟鼠仔糖/做/等路/欲/予/孙仔/食/。
刷牙要用牙膏。	洗喙/爱/用/齿膏/。
好久不见了，高太太最近好吗？	真/久/无/见面矣/，/高/夫人/最近/好无/？
只有你可以对付他而已。	干焦/你/会当/治/伊/尔尔/。
他站定不敢乱动。	伊/徛/定定/毋敢/乌白/振动/。
公园里的花朵很清香。	公园内/的/花蕊/真/清芳/。
话说回来，他打你也是为了你好。	话/讲/倒转来/，/伊/拍你/嘛/是/为/你/好/。
基督教的教义	基督教/的/道理
你身体不太好，有一些东西还是要忌口比较好。	你/身体/无/盖/好/，/有/一寡/物件/着爱/较/禁喙咧/。
他呼吁大家注意社会问题。	伊/呼吁/逐家/注意/社会/问题/。
事情被他搞得出差错了。	代志/去/予/伊/舞/一下/重耽去/。
他的底细被人家揭穿了。	伊/的/底细/予/人/掀出来矣/。
米价会涨得这么高，都是那些粮商在作怪。	米价/会/起/甲/遮/悬/，/拢/嘛/遐的/米虫/咧/变鬼变怪/。
没有大的地瓜可以烤，烤小地瓜也好。	无/大/条/番薯/通/炰/，/炰/番薯仔囝/嘛/好/。
他整整说了一个小时的电话。	伊/足足/讲/一/点钟/的/电话/。
他讲话很娘娘腔。	伊/讲话/诚/查某体/。
他这样做，未免太残酷了！	伊/按呢/做/，/未免/伤/酷刑/！
昨天听他哮喘了一夜，我实在很心疼。	昨暗/听/伊/痚/规/暝/，/我/实在/真/毋甘/。
这是好消息事，赶快说给大家知道。	这/是/好代/，/赶紧/讲/予/众人/知/。
我们这里比较无法谋生。	咱/遮/较/无/通/讨食/。
你顺着这条路直直走，就可以看到车站了。	你/顺/这/条/路/直直/去/，/就/会/看着/车站矣/。
混血的人比较聪明。	反种/的/人/较/巧/。
我们家的人都比较喜欢吃瘦肉。	阮/兜/的/人/拢/较/爱/食/精肉/。
你为何一定要亲自跑这一趟？	你/何必/着/亲身/走/这/逝/？
你愿意不愿意？	你/是/肯/抑/毋/肯/？
他母亲和他妻子不合，他左右为难，不知如何是好。	𪜶/老母/佮/𪜶/某/袂/合/，/伊/做/石磨仔心/，/毋/知/欲/按怎/才/好/。
你这样做不怕会短命！	你/按呢/做/毋惊/会/夭寿/！
你都说得到做不到，难怪人家会看不起你。	你/讲/的/话/拢/做/袂/到/，/莫怪/人/会/看/你/无/。
沙发被小孩给踏坏了。	膨椅/予/囡仔/翸歹去矣/。
七分酒掺三分水刚刚好。	七/分/酒/对/三/分/水/上/拄好/。
前面的人挡住，什么都看不到。	头前/的/人/闸咧/，/啥物/都/看/袂/着/。
身边如果没有存款，需要用到的时候就要跟别人要。	身躯边/若/无/䞐钱/，/欲/用/的/时阵/就/爱/共/人/伸/长/手/。
你跟老子说清楚。	你/共/恁爸/讲/予/伊/清/楚/。
关你什么事？	佮/你/有/啥/底代/？
他一定是上辈子烧好香，才会娶到这么好的老婆。	伊/一定/是/顶世人/烧/好/香/，/才/会/娶着/遮尔/好/的/某/。
他在师大兼职教书。	伊/伫/师大/兼任/教册/。
他很会精打细算，每件事情都计算到。	伊/诚/𠢕/擉算盘/，/逐/项/都/算/甲/着/。
你做的事情常常是我在帮你收拾善后。	你/做/的/代志/定定/爱/我/共/你/拭尻川/。
我一开始就说他不会跟我们合伙。	我/见面/就/讲/伊/袂/佮/咱/合股/。
他是那间公司的持股人。	伊/是/彼/间/公司/的/股东/。
想到家中小孩的注册费，就深感责任沉重。	想着/厝内/囡仔/的/注册/钱/，/就/感觉/担头/真/重/。
这家的货色还不错。	这/主/的/货草/袂䆀/。
那个年轻人很容易使唤。	彼/个/少年家/真/好/差教/。
那里的桃子长得很好。	遐/的/桃仔/生/甲/足/媠的/。
上下车要小心谨慎。	起落车/爱/细腻/。
不知道他在高兴些什么？	伊/毋/知/咧/欢喜/啥物/？
穷到没东西好喂小孩。	散/甲/无/物件/通/养饲/囡仔/。
如果你要做研究，我这里有一些古书可以借给你。	你/若/欲/做/研究/，/我/遮/有/一寡/古书/会用得/借你/。
椅子没排好，看起来很乱。	椅仔/排/无/好势/，/看/着/真/乱/。
他做事情很迅速。	伊/做/代志/诚/敏捷/。
下雨了，快把雨伞张开。	落雨矣/，/紧/共/雨伞/褫开/。
精细的工作能力很差的人做不来。	幼路/工课/低路师/做/无路来/。
常作善事的人才能培育出好子孙。	好/积德/的/人/才/会/有/好/囝孙/。
把水桶的水倒掉。	共/水桶仔/的/水/摒掉/。
医生检查出他肚子里长了恶性肿瘤。	医生/检查/出/伊/腹肚内/有/生/歹物仔/。
我们必须合力把事情做好。	咱/就/爱/协力/共/代志/做/予/好/。
请你代我向你伯母问候。	请/你/替/我/共/恁/阿姆/请安/。
他们两个要好得像兄弟一样。	𪜶/两/个/好/甲/亲像/兄弟仔/仝款/。
警方正在调查死者是否与人结怨。	警方/咧/调查/死者/敢/有/佮/人/结怨/。
这件婚事要看他自己的意思。	这/层/亲事/爱/看/伊/家己/的/意思/。
这件事情让他很抑郁。	这/件/代志/予/伊/足/凝心的/。
形容人胡子长得很可笑。	健丢/阁/发/喙须/。
这次的台风，害伯父的田地被洪水冲走了。	这/改/风台/，/害/阿伯/的/田园/予/大水/流去矣/。
海水本身就是咸水。	海水/本身/就/是/咸水/。
我要在台北车站下车。	我/欲/伫/台北/车头/落车/。
我们做人求平安就好，别贪小便宜。	咱/做人/求/平安/就/好/，/毋通/痟贪/。
你不可以穿拖鞋去学校。	你/袂使/穿/浅拖仔/去/学校/。
多聘雇两个人来帮忙。	加/倩/两/个/人/来/斗跤手/。
他已经在生气了，你还故意挖苦他，真是太不识相了！	伊/都/咧/受气矣/，/你/阁/刁工/𠛅洗伊/，/有够/白目/！
自家炒制鱼肉松，可以安心地吃。	家己/做/鱼酥/，/会使/稳心仔/食/。
赶快去洗澡，洗完好早点去睡觉。	紧/去/洗/身躯/，/洗/好/通/较早/去/困/。
这间电影院的设备很完善。	这/间/电影院/的/设备/真/周全/。
傍晚时外面较凉，如要出门要多加一件衣服。	欲暗仔/外口/较/凉/，/若/欲/出/门/，/爱/加/叠/一/领/衫/。
剩五千块全部押下去。	䞐/五千/箍/总/沤落去/。
这是众人的事，不要让他一个人包办。	这是/众人/的/代志/，/毋通/予/一/个/人/包办/。
他这次的考试名次掉了好几名。	伊/这/摆/的/考试/落/几若/名/。
这种草很会蔓延。	这种/草/真/𠢕/湠/。
他家没有供奉神佛。	𪜶/兜/无/咧/服侍/神明/。
你安静点，不然婴儿会被你惊醒。	你/较/恬咧/，/无/，/婴仔/会/予/你/拍醒/。
你是自己开业还是受雇于别人？	你/是/家己/开业/抑是/予/人/倩/？
他们两兄弟早上就到山上去砍柴了。	𪜶/两/兄弟/透早/就/去/山顶/剉柴矣/。
他为人的风评不错。	伊/做人/的/风声/袂䆀/。
你要去教会做礼拜吗？	你/敢/欲/去/教会/做/礼拜/？
那个小生长得真英俊。	彼/个/小生/真/缘投/。
烟灰缸满了，要清理一下。	薰觳仔/滇矣/，/着/清清咧/。
你记性好差，刚说就忘记。	你/记持/诚/䆀/，/随/讲/随/袂记得/。
他要这样做，我也无可奈何。	伊/欲/按呢/做/，/我/嘛/无法度/。
阿仁真小气，才几块钱而已也舍不得出。	阿仁仔/真/摄屎/，/才/几箍银仔/尔尔/都/毋/甘/出/。
今晚手气很背，打麻将一直放枪。	下昏/真/䆀气/，/拍麻雀/一直/放铳/。
哦！原来是这样。	喔/！/原来/是/按呢/。
过年的时候，路上的人潮非常多。	过年时仔/，/街仔路/人/洘秫秫/。
阿忠长得很高，大家都叫他长腿忠仔。	阿忠/生做/诚/悬/，/人/拢/叫/伊/躼跤/忠仔/。
这朵花闻起来真香。	这/蕊/花/鼻着/真/芳/。
这里的资源很丰富。	遮/的/资/源/真/丰富/。
如果靠他是绝对可靠。	若/靠/伊/是/绝对/稳触触/。
城市愈来愈向外扩张，市郊也愈来愈热闹。	城市/愈/来/愈/楦大/，/市郊/嘛/愈/来/愈/闹热/。
有话可以讲，不要放在内心。	有/话/听好/讲/，/毋通/囥/伫/心肝内/。
拿石头砸他。	提/石头/共/伊/搩落去/。
我要往那个方向去才能找到这项物品？	我/爱/对/佗/一/方面/去/才/揣/会/着/这/项/物件/？
去拿一个碗公来盛萝卜汤。	去/提/一/块/碗公/来/贮/菜头/汤/。
在路边摆摊。	伫/路边/排担/。
比方说他若跟你借钱，你会借吗？	比论/讲/伊/若/共/你/借/钱/，/你/敢/会/借伊/？
他好几天没来上班了。	伊/几若/工/无/来/上班矣/。
他打球太用力，手臂意外脱臼。	伊/拍球/伤/出力/，/手骨/煞/脱轮/。
我们两个刚刚在路口相遇。	阮/两/个/头拄仔/伫/路口/相拄/。
要吃这拿去吃啦！	欲/孝孤/这/提去/孝孤啦/！
你别再刺激他了。	你/莫/阁/共/伊/激矣/。
我有话要跟你说，真巧，你来了。	我/有/话/欲/共/你/讲/，/真拄好/，/你/来矣/。
这种便宜货，买回来当普通用就可以。	这/种/粗俗物仔/，/买/来/粗用/就/好/。
他说要中立，两边都不参加。	伊/讲/欲/中立/，/两/爿/拢/无爱/参加/。
为人处世不可厚颜无耻。	做人/毋通/伤/厚面皮/。
家里有老人、小孩要照顾，每天都忙得像陀螺一般。	厝内/有/老人/、/囡仔/爱/缠缀/，/逐工/嘛/无闲/甲/若/干乐咧/。
地上先垫报纸再开始油漆。	涂跤/先/苴/报纸/才/开始/油漆/。
他的眼睛很敏锐。	伊/的/目睭/真/尖/。
他靠把钱借贷出去来收利息。	伊/靠/放债/咧/收/利息/。
吾人得要存良心，做好事。	咱/人/着爱/存/天良/、/做/好代/。
人所结交的朋友会影响其行为。	人/所/交/的/朋友/会/影响/伊/的/行踏/。
他很会耍枪。	伊/真/𠢕/弄/枪/。
小孩子不要飙车。	囡仔人/毋通/较车/。
他的成绩在班上只能算中等而已。	伊/的/成绩/伫/𪜶/彼/班/干焦/算/中中仔/尔尔/。
好多年没见面，你还是和以前一样。	几若/年/无/见面/，/你/犹是/佮/以前/仝款/。
玩牌还少一个人，快找你阿姨来补缺。	奕/牌仔/欠/一/跤/，/紧/揣/恁/阿姨/来/塌跤/。
看你这样气冲冲，是为了什么事情？	看/你/按呢/气怫怫/，/是/为着/啥物/代志/？
路边摊的东西比较便宜。	路边担仔/的/物件/较/俗/。
现在的景气不好，日子不怎么好过。	这马/景气/无/好/，/较/歹/过日/。
你的东西掉得满地都是。	你/的/物件/落/甲/满四界矣/。
那个监工很会无故刁难别人。	彼个/监工/真/𠢕/共/人/欹空/。
他欠别人钱，却叫他母亲去认帐。	伊/欠/人/钱/，/煞/叫/𪜶/老母/去/坐数/。
他今天有应酬，会较晚回来。	伊/今仔日/有/应酬/，/会/较/晏/转来/。
古董的价格黑幕重重，不是内行人不懂。	古董/的/价数/暗漠漠/，/毋/是/内行/人/看无/。
这个小孩多病，养育不容易。	这/个/囡仔/真/歹育饲/。
新店溪这段是台北市与新北市的分界。	新店溪/这/段/是/台北市/佮/新北市/的/隔界/。
家当赌博输光了。	家伙/跋了了/。
我看事情都交给他做，这样比较干脆。	我/看/代志/拢/予/伊/做/，/按呢/较/规气/。
那件事情就留给你去打听。	彼/件/代志/就/留/予/你/去/探听/。
他这个人就是愚直，不会看人脸色赔笑脸。	伊/这/个/人/就/是/戆直/，/袂晓/看/人/的/目色/扮笑面/。
再差一点点就会掉到水沟里。	阁/差/临临仔/就/会/跋/落去/沟仔底/。
大家都不要去。	逐家/拢/莫/去/。
他们两家的门户相对。	𪜶/两/家/门户/相对/。
老师正在教室里面授课。	老师/当/咧/课堂/上课/。
他跑得很快。	伊/走/了/真/紧/。
他是心脏科的权威。	伊/是/心脏科/的/权威/。
他四十多岁了，看起来还是很年轻。	伊/卌外/岁矣/，/看/着/犹/真/少年/。
家里的工作都是他太太在处理。	厝内/的/工课/拢/是/𪜶/某/咧/料理/。
那家伙走路大摇大摆的，就像黑道中人。	彼箍/行路/使/三角六肩/，/袂输/𨑨迌人/。
小孩子说话不可以那么粗俗。	囡仔人/讲话/毋通/遐尔/粗/。
我和你誓不两立。	我/佮/你/誓不两立/。
你不用痴心妄想，他已经死会了。	你/免/数想/，/人/伊/已经/死会矣/。
你要从根本重新做起。	你/爱/对/根底/重/拍/起/。
你别想捉弄我。	你/免/想/欲/共/我/创景/。
你就是都没有修身养性，脾气才会这么差。	你/就/是/拢/无/修行/，/性地/才/会/遮尔仔/䆀/。
他掌管一间矿业公司。	伊/扞/一/间/矿业/公司/。
知道自己不对，头马上垂了下来。	知影/家己/毋着/，/头/随/頕低落来/。
拜托他做事，他都做得很用心。	拜托/伊/做/代志/，/伊/拢/做/甲/真/入心/。
我家门口放了一堆砖块。	阮/兜/门跤口/囥/一/堆/砖仔角/。
他家的祖产被他挥霍光了。	𪜶/兜/的/祖产/予/伊/翸了了/。
整理家里不是只有女人才能做的事。	款/厝内/毋/是/干焦/查某人/才/会当/做/的/工课/。
局势不好，钱愈赚愈少。	时机/䆀䆀/，/钱/愈/趁/愈/少/。
有什么话你就直说，不要这样拐弯抹角。	有/啥物/话/你/就/直接/讲/，/莫/按呢/弯弯斡斡/。
你讲归你讲，我才不相信。	你/讲/若/你/讲/，/我/才/毋/相信/。
麻烦你把上面那本书拿来给我。	麻烦/你/共/面顶/彼/本/册/提来/予我/。
用手动抽水机抽水。	用/水拹仔/拹水/。
现在代课很难找得到人，拜托你来紧急支援一下，暂代一星期的课。	这马/代课/足/僫/揣/会/着/人/，/拜托/你/来/拍火一下/，/暂/代/一/礼拜/的/课/。
幸好有你出面，否则这件事情就做不成了。	好佳哉/有/你/出头/，/若无/，/这/件/代志/就/办/袂/成矣/。
是你儿子带头去跟人打架的。	是/恁/后生/𤆬头/去/佮/人/相拍的/。
现在我心情烦躁。	这马/我/心肝/乱操操/。
这要卖也卖不了几个钱，干脆送人。	这/欲/卖/毋成钱/，/规气/送人/。
燕子飞来飞去地在筑巢。	燕仔/飞/来/飞/去/咧/咬/岫/。
我和他不是同房亲属。	我/佮/伊/毋是/仝/房头的/。
花是你送的对吧？别不好意思啦！	花/是/你/送的乎/？/免/歹势啦/！
警察要保护大众的安全。	警察/爱/保护/公众/的/安全/。
他动不动就喜欢跟别人起争执。	伊/磕袂着/就/爱/佮/人/起/冲突/。
我的书借人了。	我/的/册/借人矣/。
景气差，生意稍微缩小一下。	景气/䆀/，/生理/小/收束一下/。
你去买一些零食来吃吃。	你/去/买/一/寡/四秀仔/来/啖糁一下/。
他住在偏僻的乡下。	伊/蹛/伫/偏僻/的/庄跤/。
我姑姑脾气很好。	阮/阿姑/真/好性地/。
他很有福气，儿子媳妇都很孝顺。	伊/真/有/福气/，/后生/新妇/拢/诚/有孝/。
在玩的时候不可以勒人家的喉咙，很危险。	咧/耍/的/时阵/毋通/共/人/𦈝/咙喉/，/真/危险/。
在口袋掏了半天，掏不到一毛钱。	伫/橐袋仔/内/挦/规/晡/，/挦/无/半/仙/。
叫你把手放开，你是没听到吗？	叫/你/放手/，/你/是/无/听着呢/？
我听你在吹牛！	我/听/你/咧/放屁/！
从窗子缝隙塞东西进去。	对/窗仔缝/楔/物件/入去/。
这间屋子的屋契被他偷拿去抵押了。	这/间/厝/的/厝契/予/伊/偷提/去/抵押矣/。
这次的地震幸好都没有造成损伤。	这/摆/的/地动/佳哉/拢/无/造成/损伤/。
船要装龙骨。	船/欲/安/龙骨/。
现在粗重的工作都用机械在做。	这马/粗重/的/工课/拢/用/机械/咧/做/。
他想要和你做朋友。	伊/想欲/交/你/做/朋友/。
那边有个小台阶，你要小心。	遐/有/一个/坎仔/，/你/爱/细腻/。
就算是天下大乱，你也不能乱来。	准做/天反地乱/，/你/嘛/袂用得/乌白/来/。
阿彬小时候很爱哭。	阿彬/细汉/的/时/真/爱哭/。
常常用言语讥讽我。	定定/用/话/共/我/洗/。
看到警察，那群小混混随即拔腿逃跑，不见踪影了。	看着/警察/，/彼/阵/毋成囡仔/随/起豹飙/，/走/甲/无/看见/影/。
他很能变通，这方面你比不上他。	伊/真/𠢕/变窍/，/这/方面/你/佮/伊/无/绷/。
咱们是微薄收入仅够糊口，哪有那种闲钱出国观光呢？	咱/是/手面趁食的/，/哪/有/彼号/冗剩/钱/通/出国/观光/。
人家说继室不疼前妻的小孩，其实因人而异。	人/讲/后岫/袂/疼/前人囝/，/其实/爱/看人/。
这件衣服皱皱的，你把它烫平一点。	这/领/衫/皱皱/，/你/共/熨/较/伸咧/。
看到她怀孕的媳妇在打扫，阿婆就会说：「一身二命喔！我来就好。」	看着/𪜶/有身/的/新妇/伫咧/摒扫/，/阿婆/就/会/喝/讲/：/「/大身大命喔/！/我/来/就/好/。/」
事情到现在还是没有下文。	代志/到今/犹是/无下落/。
大家面对面把话说清楚！	逐家/当头对面/共/话/讲/予/清楚/！
那个人怎么会这么自私？	彼/个/人/哪会/遐/自私/？
每次要是叫你念书，你就开始打瞌睡。	逐/遍/若/叫/你/读册/，/你/就/开始/盹龟/。
他去参加朗读比赛，得奖了呢！	伊/去/参加/朗读/比赛/，/有/着奖呢/！
伤口结痂了。	空喙/坚疕矣/。
看别人住洋楼，你难道不会羡慕吗？	看/人/咧/蹛/洋楼/，/你/敢/袂/欣羡/？
都是因为他不来，我们才会缺一个人。	啊/都/伊/毋/来/，/阮/才/会/欠/一/个/人/。
茶杯先用开水涮一下。	茶瓯仔/先/用/滚水/荡一下/。
炒菜的时候，可别炒得太过火。	炒/菜/的/时/，/毋通/炒/了/伤/过火/。
上次不是已经修理好了，怎么还会坏掉呢？	顶帮/毋/是/已经/修理/好矣/，/哪/会/阁/歹去/？
他为人朴实，不会跟人端架子。	伊/做人/朴实/，/袂/共/人/涨悬价/。
今年是个丰收的年头。	今年/是/一/个/好年冬/。
你先去吃饭，剩下的工作我接着做就好。	你/先/去/食饭/，/䞐/的/工课/我/绁/落去/做/就/好/。
他的脸看起来有点浮肿。	伊/的/面/看起来/譀浡譀浡/。
我们是亲戚，却为了金钱翻脸。	咱/是/亲情/，/煞/为着/金钱/拍歹/感情/。
他骑车跌倒，所以膝盖有一个伤口。	伊/骑/车/跋倒/，/所以/跤头趺/有/一/个/破空/。
天刚亮他就起来忙了。	天/拍殕仔光/伊/就/起来/咧/无闲矣/。
你在看什么？	你/是/咧/看/啥潲/？
